Country,Books,Book1,Author1,Title1,Book2,Author2,Title2,Book3,Author3,Title3
Bosnia And Herzegovina,Zlata Filipovic Zlata’s Diary / Saša Staniši? How the Soldier Repairs the Gramophone / Aleksandar Hemon The Lazarus Project / Ivo Andric The Bridge on the Drina / Meša Selimovi? Death and the Dervish; Fortress,Zlata Filipovic Zlata’s Diary,Zlata Filipovic,Zlata’s Diary,Saša Stanišic How the Soldier Repairs the Gramophone,Saša Stanišic,How the Soldier Repairs the Gramophone,Aleksandar Hemon The Lazarus Project,Aleksandar Hemon,The Lazarus Project
Botswana,"Angus, Maisie and Travers McNeice The Lion Children / Bessie Head A Question of Power / Unity Dow","Angus, Maisie and Travers McNeice The Lion Children","Angus, Maisie",and Travers McNeice The Lion Children,Bessie Head A Question of Power,Bessie Head,A Question of Power,Unity Do,Unity Do,None
Brazil,João Ubaldo Ribeiro House of the Fortunate Buddhas; An Invincible Memory / Clarice Lispector / Rubem Fonseca / Paulo Freire / Clarice Lispector Agua Viva / Jorge Amado Jubiabá; The Double Death of Quincas Water-Bray / João Guimarães Rosa / Paulo Coelho / Machado de Assis Dom Casmurro / Chico Buarque Budapest / Lygia Fagundes Telles The Marble Dance / Zulmira Ribeiro Tavares Family Heirlooms,João Ubaldo Ribeiro House of the Fortunate Buddhas,Machado de Assis,Don Casmurro,Clarice Lispector,Clarice Lispector,,Rubem Fonseca,Peter Robb,A Death in Brazil
Brunei,Eva Maria Kershaw Dusun Folktales: A Collection of Eighty-eight Folktales in the Dusun Language of Brunei with English Translations / Christopher Sun (aka Sun Tze Yun) Four Kings / Amir Falique The Forlorn Adventure,Eva Maria Kershaw Dusun Folktales: A Collection of Eighty-eight Folktales in the Dusun Language of Brunei with English Translations,Eva Maria Kershaw,Dusun Folktales,Christopher Sun Four Kings,Christopher Sun,Four Kings,Amir Falique The Forlorn Adventur,Amir Falique,The Forlorn Adventur
Bulgaria,Elias Canetti The Tongue Set Free / Kalin Terziyski Is there Anybody to Love You? / Georgi Gospodinov Natural Novel / Kapka Kassabova Street Without a Name / Anton Donchev Time of Parting / Milen Ruskov Thrown into Nature / Emiliyan Stanev The Peach Thief / Dimitar Dimov Doomed Souls,Elias Canetti The Tongue Set Free,Elias Canetti,The Tongue Set Free,Kalin Terziyski Is there Anybody to Love You?,Kalin Terziyski,Is there Anybody to Love You?,Georgi Gospodinov Natural Novel,Georgi Gospodinov,Natural Novel
Burkina Faso,Sarah Bouyain / Frédéric Pacéré Titinga / Nobert Zongo The Parachute Drop,Sarah Bouyain,Sarah Bouyain,None,Nobert Zongo The Parachute Drop,Nobert Zongo,The Parachute Drop,None,None,None
Burundi,"Marie-Therese Toyi Weep Not, Refugee / Roland Rugero Baho!","Marie-Therese Toyi Weep Not, Refugee",Marie-Therese Toyi,"Weep Not, Refugee",Roland Rugero Baho,Roland Rugero,Baho,None,None,None
Cambodia,U Sam Oeur Crossing Three Wildernesses / Alice Pung Unpolished Gem / Vaddey Ratner In the Shadow of the Banyan / Loung Ung / Haing S Ngor / Bree Lafreniere and Daran Kravanh Music Through Dark,U Sam Oeur Crossing Three Wildernesses,U Sam,Oeur Crossing Three Wildernesses,Alice Pung Unpolished Gem,Alice Pung,Unpolished Gem,Vaddey Ratner In the Shadow of the Banyan,Vaddey Ratner,In the Shadow of the Banyan
Cameroon,Mongo Beti La Pauvre Christ de Bomba (The Poor Christ of Bomba); Mission to Kala / Beatrice Fri Bime Mystique: a collection of lake myths,Mongo Beti Mission to Kala,Mongo Beti,Mission to Kala,Beatrice Bime Mystique: a collection of lake myth,Beatrice Bime,Mystique: a collection of lake myth,None,None,None
Canada,"Robertson Davies / Nicole Brossard Mauve Desert / Alice Munro / Lauren B Davis Our Daily Bread / Darcie Friesen Hossack Mennonites Don’t Dance / Anne Michaels Fugitive Pieces / Thomas King Green Grass, Running Water / Elizabeth Hay Late Nights on Air / Michael Ondaatje In the Skin of a Lion / Frances Itani Deafening / Joseph Boyden The Three Day Road / Carol Shields / Donna Morrissey / Timothy Findley Not Wanted on the Voyage / Michael Crummey Galore / Anita Rau Baudami Tamarind Mem; The Hero’s Walk / Zoe Whittall Bottle Rocket Hearts",Robertson Davies,Lucy Montgomery,Anne of Green Gables,Nicole Brossard Mauve Desert,Nicole Brossard,Mauve Desert,Margaret Atwood,Margaret Atwood,The Handmaid's Tale
Cape Verde,Verde Germano Almeida The Last Will & Testament of Senhor da Silva Araújo / Dina Salústio The Madwoman of Serrano,Germano Almeida The Last Will & Testament of Senhor da Silva Araújo,Germano Almeida,The Last Will & Testament of Senhor da Silva Araújo,Dina Salústio The Madwoman of Serran,Dina Salústio,The Madwoman of Serran,None,None,None
