Country,Books,Book1,Author1,Title1,Book2,Author2,Title2,Book3,Author3,Title3
Germany,Jenny Erpenbeck Visitation; The End of Days / Günter Grass The Tin Drum / Christa Wolf / Heinrich Böll The Lost Honour of Katharina Blum / Emine Sevgi Özdamar Bridge of the Golden Horn / Walter Benjamin Illuminations (trans. Harry Zohn) / Clemens Meyer All the Lights / Christa Wolf Medea / Franz Fühmann / Inka Parei The Shadow-Boxing Girl / Hans Fallada Alone in Berlin / Jurek Becker Jacob the Liar / Herman Hesse Siddhartha / Thomas Mann / Yoko Tawada Memoirs of a Polar Bear,Jenny Erpenbeck Visitation; The End of Days,Jenny Erpenbeck,Visitation; The End of Days,Günter Grass The Tin Drum,Günter Grass,The Tin Drum,Christa Wolf,Christa Wolf,None
Ghana,Ayi Kwei Armah The Beautyful Ones Are Not Yet Born / Isaac Neequaye / Ama Ata Aidoo / Jo de Graft Hanson Amanfi’s Gold / Gheysika Adombire Agambila Journey / Various Anansi Stories,Ayi Kwei Armah The Beautyful Ones Are Not Yet Born,Ayi Kwei,Armah The Beautyful Ones Are Not Yet Born,Isaac Neequaye,Isaac Neequaye,,Ama Ata Aidoo,Ama Ata,Aidoo
Greece,Kostas Hatziantoniou The Black Book of Bile; Agrigento / Margarita Karapanou Kassandra and the Wolf / Panos Karnezis / Nikos Kazantzakis Freedom or Death; The Last Temptation,Kostas Hatziantoniou The Black Book of Bile,Kostas Hatziantoniou,The Black Book of Bile,Margarita Karapanou Kassandra and the Wolf,Margarita Karapanou,Kassandra and the Wolf,Panos Karnezis,Panos Karnezis,None
Grenada,Tobias Buckell / Merle Collins The Ladies are Upstairs,Tobias Buckell,Tobias Buckell,None,Merle Collins The Ladies are Upstair,Merle Collins,The Ladies are Upstair,None,None,None
Guatemala,"Miguel Angel Asturias The President / Rodrigo Rey Rosa / Rigoberta Menchú I, Rigoberta Menchú / Augusto Monterroso / Eduardo Halfon The Polish Boxer",Miguel Angel Asturias The President,Miguel Angel,Asturias The President,Rodrigo Rey Rosa,Rodrigo Rey,Rosa,"Rigoberta Menchú I, Rigoberta Menchú",Rigoberta Menchú,"I, Rigoberta Menchú"
Guinea,Camara Laye The Radiance of the King; The Guardian of the Word,Camara Laye The Radiance of the King; The Guardian of the Wor,Camara Laye,The Radiance of the King; The Guardian of the Wor,None,None,None,None,None,None
Guinea-bissau,Amilcar Cabral Unity and Struggle / Abdulai Silá The Ultimate Tragedy,Amilcar Cabral Unity and Struggle,Amilcar Cabral,Unity and Struggle,Abdulai Silá The Ultimate Traged,Abdulai Silá,The Ultimate Traged,None,None,None
Guyana,Oonya Kempadoo Buxton Spice,Oonya Kempadoo Buxton Spic,Oonya Kempadoo,Buxton Spic,Rahul Bhattacharya,Rahul Bhattacharya,The Sly Company of People Who Care,None,Odeen Ishmael,The Guyana Story
Haiti,Marvin Victor / Lyonel Trouillot Children of Heroes / Dany Laferriere How to Make Love to a Negro without Getting Tired; I am a Japanese Writer / Louis-Philppe Dalembert / Edwidge Danticat The Farming of the Bones / Franketienne / Gary Klang / Josaphat-Robert Large,Marvin Victor,Rene Depestre,Hadriana in All My Dreams,Lyonel Trouillot Children of Heroes,Lyonel Trouillot,Children of Heroes,Mitch Albom Finding Chika,Mitch Albom,Finding Chika
Honduras,Guillermo Yuscaran Points of Light / Ramón Amaya Amador,Guillermo Yuscaran Points of Light,Guillermo Yuscaran,Points of Light,Ramón Amaya Amado,Ramón Amaya,Amado,None,None,None
Hong Kong,None,Xu Xi Dear Hong Kong: An Elegy to a City,Xu Xi,Dear Hong Kong: An Elegy to a City,None,None,None,None,None,None
Hungary,Sándor Márai Embers / Dezs? Kosztolányi Skylark / Zsigmond Móricz Be Faithful Unto Death / Antal Szerb Journey by Moonlight / Péter Esterházy Not Art / Tibor Fischer Under the Frog / Antal Szerb The Pendragon Legend / László Krasznahorkai War and War (trans. George Szirtes) / Ferenc Karinthy Metropole / Imre Kertész Fatelessness / Albert Wass / Rejt? Jen? / Péter Nádas A Book of Memories; Parallel Stories / Iván Mándy On the Balcony / Ferenc Molnár The Paul Street Boys,Sándor Márai Embers,Sándor Márai,Embers,Dezso Kosztolányi Skylark,Dezso Kosztolányi,Skylark,Zsigmond Móricz Be Faithful Unto Death,Zsigmond Móricz,Be Faithful Unto Death
Iceland,Arnaldur Indridason Jar City / Halldór Laxness The Atom Station / Ófeigur Sigurðsson / Gyrðir Eliasson Stone Tree / Auður A Ólafsdóttir The Greenhouse,Arnaldur Indridason Jar City,Arnaldur Indridason,Jar City,Halldór Laxness The Atom Station,Halldór Laxness,The Atom Station,Ófeigur Sigurðsson,Ófeigur Sigurðsson,None
India,Suketu Mehta Maximum City / Rohinton Mistry Family Matters; A Fine Balance / Premchand / Rahul Bhattacharya The Sly Company of People who Care / Amitav Ghosh River of Smoke / Tabish Khair The Thing about Thugs / Aman Sathi A Free Man,Suketu Mehta Maximum City,Kamala Markandaya,Nectar in a Sieve,Anita Desai In Custody,Anita Desai,In Custody,Rohinton Mistry A Fine Balance,Rohinton Mistry,A Fine Balance
Indonesia,Yusuf Bilyarta Mangunwijaya (Romo Mangun) Burung-Burung Manyar; Rara Mendut; Durga/Umayi / Ayu Utami / Mochtar Lubis / Pramoedya Ananta Toer This Earth of Mankind / Dewi Lestari Supernova / Agustinus Wibowo Blanket of Dust (translation sought) / Andrea Hirata The Rainbow Troops / Eka Kurniawan Man Tiger,Yusuf Bilyarta Mangunwijaya,Yusuf Bilyarta Mangunwijaya,Rara Mendut,Andrea Hirata The Rainbow Troops,Andrea Hirata,The Rainbow Troops,Ayu Utami,Ayu Utami,None
"Iran, Islamic Republic of",Akbar Golrang Parpin Flowers /Nasrin Alavi We are Iran / Shahrnush Parsipur Touba and the Meaning of Night / Mahmoud Dowlatabadi The Colonel (trans. Tom Patterdale) / Adnan-Ahmed / Fariba Hachtroudi The Man Who Snapped His Fingers,Akbar Golrang Parpin Flowers,Akbar Golrang,Parpin Flowers,Nasrin Alavi We are Iran,Nasrin Alavi,We are Iran,Shahrnush Parsipur Touba and the Meaning of Night,Shahrnush Parsipur,Touba and the Meaning of Night
Iraq,Samuel Shimon An Iraqi in Paris / Ali Bader The Tobacco Keeper / Hassan Blasim The Madman of Freedom Square / Rodaan Al Galidi Thirsty River / Samira Al-Mana / Wafaa Abed Al Razzaq / A Alwan The Sheikh’s Detective / Fuad al-Takarli The Long Way Back,Samuel Shimon An Iraqi in Paris,Samuel Shimon,An Iraqi in Paris,Ali Bader The Tobacco Keeper,Ali Bader,The Tobacco Keeper,Hassan Blasim The Madman of Freedom Square,Hassan Blasim,The Madman of Freedom Square
Ireland,James Joyce Ulysses / Maria Edgeworth Castle Rackrent / William Trevor / Sebastian Barry The Secret Scripture / Flann O’Brien The Third Policeman; At Swim–Two–Birds,James Joyce Ulysses,James Joyce,Ulysses,Maria Edgeworth Castle Rackrent,Maria Edgeworth,Castle Rackrent,William Trevor,William Trevor,None
Israel,David Grossman Falling Out of Time; To the End of the Land; Be My Knife / Amos Oz A Tale of Love and Darkness (trans. Nicholas de Lange) / Savyon Liebrecht / AB Yehoshua / Ronit Matalon / Alex Epstein / Aharon Appelfeld Blooms of Darkness / Sara Shilo The Falafel King is Dead / Etgar Keret / Yehoshua Kenaz / Zeruya Shalev Pain,David Grossman Falling Out of Time; To the End of the Land; Be My Knife,David Grossman,Falling Out of Time; To the End of the Land; Be My Knife,Amos Oz A Tale of Love and Darkness (trans. Nicholas de Lange),Amos Oz,A Tale of Love and Darkness (trans. Nicholas de Lange),Savyon Liebrecht,Savyon Liebrecht,None
Italy,Roberto Saviano Zero Zero Zero; Gomorrah / Leonardo Sciascia The Day of the Owl (trans. Archibald Colquhoun) / Fabio Geda In the Sea there are Crocodiles (trans. Howard Curtis) / Elena Ferrante The Lost Daughter; The Days of Abandonment; My Brilliant Friend / Antonio Tabucchi Pereira Maintains / Diego Marani New Finnish Grammar / Alessandro Baricco Ocean Sea; Mr Gwyn / Giuseppe Tomasi di Lampedusa The Leopard / Alessandro Manzoni / Luigi Pirandello / Primo Levi / Italo Svevo / Dino Buzzati The Tartar Steppe / Elena Varvello Can You Hear Me?,Roberto Saviano Zero Zero Zero; Gomorrah,Roberto Saviano,Zero Zero Zero; Gomorrah,Leonardo Sciascia The Day of the Owl (trans. Archibald Colquhoun),Leonardo Sciascia,The Day of the Owl (trans. Archibald Colquhoun),Fabio Geda In the Sea there are Crocodiles (trans. Howard Curtis),Fabio Geda,In the Sea there are Crocodiles (trans. Howard Curtis)
Jamaica,Kei Miller / Lindsay Barrett / Margaret Cezair-Thompson The Pirate’s Daughter / Colin Channer / Brian Meeks Paint the Town Red / Patricia Powell / Victor Stafford Reid / Vanessa Spence / Marlon James The Book of Night Women; John Crow’s Devil,Kei Miller,Kei Miller,None,Lindsay Barrett,Lindsay Barrett,None,Margaret Cezair-Thompson The Pirate’s Daughter,Margaret Cezair-Thompson,The Pirate’s Daughter
Japan,"Haruki Murakami Kafka on the Shore; 1Q84 / Natsume S?seki The Miner; I am a Cat/ Michitsuna no Haha (Michitsuna’s mother) The Kagero Diary (trans. Sonja Arntzen) / Yukio Mishima Death in Midsummer (trans. Seidensticker, Keene, Morris, Sargent) / Hiromi Kawakami Manazuru / Shiba Ryotaro / Yoko Ogawa Hotel Iris / Yoriko Shono / Yumiko Kurahashi / Yoko Tawada / Yasunari Kawabata Snow Country",Haruki Murakami Kafka on the Shore; 1Q84,Haruki Murakami,Kafka on the Shore,Natsume Soseki The Miner,Natsume Soseki,The Miner,Yukio Mishima Confessions of a Mask,Yukio Mishima,Confessions of a Mask
Jordan,Ibrahim Nasrallah Time of White Horses / Abdulrahman Munif Cities of Salt,Ibrahim Nasrallah Time of White Horses,Ibrahim Nasrallah,Time of White Horses,Abdulrahman Munif Cities of Sal,Abdulrahman Munif,Cities of Sal,None,None,None
Kazakhstan,"Rollan Seisenbayev The Day the World Collapsed / Mukhamet Shayakhmetov The Silent Steppe: The Story of a Kazakh Nomad Under Stalin / Nursultan Nazarbayev My Life, My Times and the Future / Ilyas Esenberlin Nomads / Mukhtar Auezov Abai (translation sought)",Dark Shadows Joanna Lillis,Joanna Lillis,Dark Shadows,Mukhamet Shayakhmetov The Silent Steppe: The Story of a Kazakh Nomad Under Stalin,Mukhamet Shayakhmetov,The Silent Steppe: The Story of a Kazakh Nomad Under Stalin,Chingiz Aitmatov The Day Lasts More Than a Hundred Years,Chingiz Aitmatov,The Day Lasts More Than a Hundred Years
Kenya,"Binyavanga Wainaina One Day I Will Write About This Place / Ng?g? wa Thiong’o A Grain of Wheat; Wizard of the Crow / Philo Ikonya Kenya, Will You Marry Me? / NK Read Children of Saba / Yvonne Adhiambo Owuor Dust",Binyavanga Wainaina One Day I Will Write About This Place,Binyavanga Wainaina,One Day I Will Write About This Place,Ng?g?wa Thiong'o A Grain of Wheat,Ngugiwa Thiong'o,A Grain of Wheat,"Philo Ikonya Kenya, Will You Marry Me?",Philo Ikonya,"Kenya, Will You Marry Me?"
Kiribati,Teweiariki Teaero Waa in Storms,Teweiariki Teaero Waa in Storm,Teweiariki Teaero,Waa in Storm,None,None,None,None,None,None
Kuwait,"Saif Marzooq al-Shamlan Pearling in the Arabian Gulf / Jehan S Rajab Invasion Kuwait / Haya al-Mughni Women in Kuwait / Danderma The Chronicles of Dathra, a Dowdy Girl from Kuwait",Saif Marzooq al-Shamlan Pearling in the Arabian Gulf,Saif Marzooq,al-Shamlan Pearling in the Arabian Gulf,Jehan Rajab Invasion Kuwait,Jehan Rajab,Invasion Kuwait,Haya al-Mughni Women in Kuwait,Haya al-Mughni,Women in Kuwait
Kyrgyzstan,Chinghiz Aitmatov Jamilia; The Place of the Skull; Farewell Gul’sary; The Day Lasts More than a Hundred Years; Short Novels; White Steamship; Tales of the Mountains and Steppes; Cranes Fly Early;Time to Speak; Mother Earth and Other Stories,Chinghiz Aitmatov Jamilia; The Place of the Skull; Farewell Gul’sary; The Day Lasts More than a Hundred Years; Short Novels; White Steamship; Tales of the Mountains and Steppes; Cranes Fly Early;Time to Speak; Mother Earth and Other Storie,Chingiz Aitmatov,Jamilia,Chingiz Aitmatov,Chingiz Aitmatov,The White Ship,None,None,None
Laos,Outhine Bounyavong Mother’s Beloved,Outhine Bounyavong Mother’s Belove,Outhine Bounyavong,Mother’s Belove,None,None,None,None,None,None
Latvia,David Bezmozgis The Free World / Agate Nesaule A Woman in Amber / Inga Zolude A Solace for Adam’s Tree / Sandra Kalniete With Dance Shoes in Siberian Snows / Janis Klidzejs The Child of Man (translation sought),David Bezmozgis The Free World,David Bezmozgis,The Free World,Agate Nesaule A Woman in Amber,Agate Nesaule,A Woman in Amber,Inga Zolude A Solace for Adam’s Tree,Inga Zolude,A Solace for Adam’s Tree
Lebanon,Joumana Haddad I Killed Scheherazade / Elias Khoury Yalo; Gate of the Sun / Hanan al-Shaykh One Thousand and One Nights; The Locust and the Bird / Jabbour Douhaiy June Rain / Alexandra Chreiteh Always Coca-Cola / Iman Humaydan Wild Mulberries / Amin Maalouf Samarkand; Leo the African / Rashid al-Daif Dear Mr Kawabata / Amin al Rihani / Gibran Khalil Gibran / Najwa Barakat Oh Salaam!,Joumana Haddad I Killed Scheherazade,Joumana Haddad,I Killed Scheherazade,Elias Khoury Gate of the Sun,Elias Khoury,Gate of the Sun,Hanan al-Shaykh One Thousand and One Nights; The Locust and the Bird,Hanan al-Shaykh,One Thousand and One Nights; The Locust and the Bird
Lesotho,Thomas Mofolo Chaka / AS Mopeli-Paulus Blanket Boy’s Moon; The World and the Cattle / Morabo Morojele How We Buried Puso / Various Basali! Stories by and about women in Lesotho,Thomas Mofolo Chaka,Thomas Mofolo,Chaka,AS Mopeli-Paulus Blanket Boy’s Moon,AS Mopeli-Paulus,Blanket Boy’s Moon,Morabo Morojele How We Buried Puso,Morabo Morojele,How We Buried Puso
Liberia,Helene Cooper The House at Sugar Beach / Ellen Johnson Sirleaf This Child Will Be Great / Mardia Stone Konkai: Living Between Two Worlds,Helene Cooper The House at Sugar Beach,Helene Cooper,The House at Sugar Beach,Ellen Johnson Sirleaf This Child Will Be Great,Ellen Johnson,Sirleaf This Child Will Be Great,Mardia Stone Konkai: Living Between Two World,Mardia Stone,Konkai: Living Between Two World
Libya,Hisham Matar In the Country of Men; Anatomy of a Disappearance / Ibrahim Al-Khoni Anubis: A Desert Novel; Gold Dust; The Animists; The Bleeding of the Stone; The Puppet; The Seven Veils of Seth / Ahmed Fagi Homeless Rats; 30 Short Stories,Hisham Matar In the Country of Men; Anatomy of a Disappearance,Hisham Matar,In the Country of Men; Anatomy of a Disappearance,Ibrahim Al-Khoni Anubis: A Desert Novel,Ibrahim Al-Khoni,Anubis: A Desert Novel,Ahmed Fagi Homeless Rats; 30 Short Storie,Ahmed Fagi,Homeless Rats; 30 Short Storie
Liechtenstein,Iren Nigg / Stefan Sprenger / Heinrich Harrer Seven Years in Tibet / CC Bergius The Noble Forger,Iren Nigg,Iren Nigg,None,Stefan Sprenger,Stefan Sprenger,,Heinrich Harrer Seven Years in Tibet,Heinrich Harrer,Seven Years in Tibet
Lithuania,"Laura Sintija ?erniauskait? / Various No Men, No Cry / Ricardas Gavelis Vilnius Poker / Jonas Mekas / Juozas Baltusis / Andrius Tapinas Hour of the Wolf / Balys Sruoga Forest of the Gods / Antanas Šk?ma The White Shroud / Laimonas Briedis Vilnius: City of Strangers",Laura ?erniauskait?,Laura Cerniauskaite,Breathing Into Marble,"Ugne Barauskaite No Men, No Cry",Ugne Barauskaite,"No Men, No Cry",Ricardas Gavelis Vilnius Poker,Ricardas Gavelis,Vilnius Poker
Luxembourg,Jean Back Amateur / Robi Gottlieb-Cahen Minute Stories,Jean Back Amateur,Jean Back,Amateur,Robi Gottlieb-Cahen Minute Storie,Robi Gottlieb-Cahen,Minute Storie,None,None,None
Macedonia,Rumena Bužarovska Scribbles; Wisdom Tooth / Goce Smilevski Sigmund Freud’s Sister; Conversation with Spinoza / Elizabeta Bakovska On the way to Damascus,Rumena Bužarovska Scribbles; Wisdom Tooth,Rumena Bužarovska,Scribbles; Wisdom Tooth,Goce Smilevski Conversation with Spinoza,Goce Smilevski,Conversation with Spinoza,Elizabeta Bakovska On the way to Damascu,Elizabeta Bakovska,On the way to Damascu
Madagascar,ed. Jacques Bourgeacq and Liliane Ramarosoa Voices from Madagascar / Naivo Beyond the Rice Fields,ed. Jacques Bourgeacq and Liliane Ramarosoa Voices from Madagascar,ed. Jacques,Bourgeacq and Liliane Ramarosoa Voices from Madagascar,Naivo Beyond the Rice Field,Naivo Beyond,the Rice Field,None,None,None
Malawi,Samson Kambalu The Jive Talker / Aubrey Kachingwe No Easy Task,Samson Kambalu The Jive Talker,Samson Kambalu,The Jive Talker,Aubrey Kachingwe No Easy Tas,Aubrey Kachingwe,No Easy Tas,None,None,None
Malaysia,Shih-Li Kow Ripples and Other Stories / A Samad Said / Adibah Amin This End of The Rainbow / Dina Zaman King of the Sea,Shih-Li Kow Ripples and Other Stories,Shih-Li Kow,Ripples and Other Stories,ASamad Said,ASamad Said,,Adibah Amin This End of The Rainbow,Adibah Amin,This End of The Rainbow
Maldives,Abdullah Sadiq Dhon Hiyala and Ali Fulhu,Abdullah Sadiq Dhon Hiyala and Ali Fulh,Abdullah Sadiq,Dhon Hiyala and Ali Fulh,None,None,None,None,None,None
Mali,Amadou Hampâté Bâ The Strange Destiny of Wangrin / Yambo Ouloguem Bound to Violence,Amadou Hampâté Bâ The Strange Destiny of Wangrin,Amadou Hampâté,Bâ The Strange Destiny of Wangrin,Yambo Ouloguem Bound to Violence,Yambo Ouloguem,Bound to Violence,Kris Holloway,Kris Holloway,Monique and the Mango Rains
Malta,Immanuel Mifsud Happy Weekend / Pierre Mejlak / Simon Bartolo / Oliver Friggieri / Herbert Ganado My Century / Trevor Zahra / Kilin (Mikiel Spiteri),Immanuel Mifsud Happy Weekend,Immanuel Mifsud,Happy Weekend,Pierre Mejlak,Pierre Mejlak,,Simon Bartolo,Simon Bartolo,None
Mauritania,Mohamed Bouya Bamba Angels of Mauritania and the Curse of the Language / Mbarek Ould Beyrouk The Desert and the Drum,Mohamed Bouya Bamba Angels of Mauritania and the Curse of the Language,Mohamed Bouya,Bamba Angels of Mauritania and the Curse of the Language,Mbarek Ould Beyrouk The Desert and the Dru,Mbarek Ould,Beyrouk The Desert and the Dru,None,None,None
Mauritius,Anand Mulloo Watch Them Go Down / Barlen Pyamootoo Benares,Anand Mulloo Watch Them Go Down,Anand Mulloo,Watch Them Go Down,Barlen Pyamootoo Benare,Barlen Pyamootoo,Benare,None,None,None
Mexico,Juan Pablo Villalobos Down the Rabbit Hole / Octavio Paz The Labyrinth of Solitude (trans. Lysander Kemp) / Laura Esquivel Like Water for Chocolate (trans. Carol Christensen and Thomas Christensen) / Martín Solares The Black Minutes / Carlos Fuentes / Jorge Volpi / Rosario Castellanos / Carmen Boullosa / Mario Bellatín / Elena Garro / Juan Rulfo / Elena Poniatowska / Sergio Pitol / Juan Rulfo Pedro Paramo / Valeria Luiselli Faces in the Crowd / Fernanda Melchor Hurricane Season,Juan Rulfo Pedro Paramo,Juan Rulfo,Pedro Paramo,Juan Pablo Villalobos Down the Rabbit Hole,Juan Pablo,Villalobos Down the Rabbit Hole,Octavio Paz The Labyrinth of Solitude,Octavio Paz,The Labyrinth of Solitude
Federated States Of Micronesia,Luelen Bernart The Book of Luelen,Luelen Bernart The Book of Luele,Luelen Bernart,The Book of Luele,None,None,None,None,None,None
Republic Of Moldova,Ion Drutse Moldavian Autumn; The Story of an Ant / Vladimir Lorchenkov The Good Life Elsewhere,Ion Drutse Moldavian Autumn; The Story of an Ant,Ion Drutse,Moldavian Autumn; The Story of an Ant,Vladimir Lorchenkov The Good Life Elsewhere,Vladimir Lorchenkov,The Good Life Elsewhere,None,None,None
Monaco,ed. Richard and Danae Projetti Grace Kelly: Princesse du Cinema,ed. Richard and Danae Projetti Grace Kelly: Princesse du Cinem,ed. Richard,and Danae Projetti Grace Kelly: Princesse du Cinem,None,None,None,None,None,None
Mongolia,Galsan Tschinag The Blue Sky,Galsan Tschinag The Blue Sk,Galsan Tschinag,The Blue Sky,Louisa Waugh Hearing Birds Fly,Louisa Waugh,Hearing Birds Fly,Jack Weatherford Genghis Khan and the Quest for God,Jack Weatherford,Genghis Khan and the Quest for God
Montenegro,Petar II Petrovi?-Njegoš The Mountain Wreath / Andrej Nikolaidis / Xenia Popovich A Lullaby for No Man’s Wolf,Petar II Petrovich-Njegosh The Mountain Wreath,Petar II,Petrovich-Njegosh The Mountain Wreath,Andrej Nikolaidis,Andrej Nikolaidis,,Xenia Popovich A Lullaby for No Man’s Wol,Xenia Popovich,A Lullaby for No Man’s Wol
Morocco,Diss Chraïbi Heirs to the Past; Le Passé Simple (The Simple Past) / Tahar Ben Jelloun The Sacred Night; The Sand Child; This Blinding Absence of Light (trans. Linda Coverdale); A Palace in the Old Village (trans. Linda Coverdale) / Bensalem Himmich The Polymath / Mohammed Achaari The Arch and the Butterfly / Fatima Mernissi / Muhammad Shukri For Bread Alone / Muhammad Barrada The Game of Forgetting,Diss Chraïbi Heirs to the Past; Le Passé Simple (The Simple Past),Diss Chraïbi,Heirs to the Past; Le Passé Simple (The Simple Past),TaharBen Jelloun The Sacred Night,TaharBen Jelloun,The Sacred Night,Bensalem Himmich The Polymath,Bensalem Himmich,The Polymath
Mozambique,Mia Couto The Sleepwalking Land; Under the Frangipani / Paulina Chiziane Niketche / Ungulani Ba Ka Khosa Ualalapi / Luis Bernardo Honwana We Killed Mangy Dog / Paulina Chiziane The First Wife,Mia Couto The Sleepwalking Land; Under the Frangipani,Mia Couto,The Sleepwalking Land; Under the Frangipani,Paulina Chiziane Niketche,Paulina Chiziane,Niketche,Ungulani Ba Ka Khosa Ualalapi,Ungulani Ba,Ka Khosa Ualalapi
Myanmar,Cho Tu Zaw / Ma Thida / Nu Nu Yi Inwa Smile as they Bow,Amitav Ghosh The Glass Palace,Amitav Ghosh,The Glass Palace,Ma Thida,Ma Thida,None,Nu Nu Yi Inwa Smile as they Bo,Nu Nu,Yi Inwa Smile as they Bo
Namibia,Joseph Diescho Troubled Waters / Neshani Andreas The Purple Violet of Oshaantu,Joseph Diescho Troubled Waters,Joseph Diescho,Troubled Waters,Neshani Andreas The Purple Violet of Oshaant,Neshani Andreas,The Purple Violet of Oshaant,Neshani Andreas The Purple Violet of Oshaantu,Neshani Andreas,The Purple Violet of Oshaantu
Nauru,"Timothy Detudamo Legends, Traditions and Tales of Nauru / Ben Bam Solomon et al Stories from Nauru","Timothy Detudamo Legends, Traditions and Tales of Nauru",Timothy Detudamo,"Legends, Traditions and Tales of Nauru",Ben Bam Solomon et al Stories from Naur,Ben Bam,Solomon et al Stories from Naur,None,None,None
Nepal,Samrat Upadhyay Buddha’s Orphans / Ajit Baral The Lazy Conman and Other Stories / Parijat Blue Mimosa / Jagadish Ghimire Antarman ko yatra / Prajwal Parajuly The Gurkha’s Daughter,Samrat Upadhyay Buddha’s Orphans,Samrat Upadhyay,Buddha’s Orphans,Ajit Baral The Lazy Conman and Other Stories,Ajit Baral,The Lazy Conman and Other Stories,Parijat Blue Mimosa,Parijat Blue,Mimosa
Netherlands,Harry Mulisch The Discovery of Heaven / Cees Noteboom Lost Paradise; All Souls’ Day; Rituals / Tessa de Loo / Gerbrand Bakker The Twin / Kader Abdolah The House of the Mosque / Abdelkader Benali / Jan van Mersbergen Tomorrow Pamplona / Arthur Japin The Two Hearts of Kwasi Boachi / Tommy Wieringa Little Caesar / Bernlef Out of Mind / Jan Wolkers Turkish Delight / WF Hermans The Darkroom of Damocles / Arnon Grunberg Tirza; Skin and Hair / Esther Gerritsen Craving / Nescio Amsterdam Stories / Gerard Reve The Evenings / Herman Koch Dear Mr M,Harry Mulisch The Discovery of Heaven,Harry Mulisch,The Discovery of Heaven,Cees Noteboom Lost Paradise; All Souls’ Day; Rituals,Cees Noteboom,Lost Paradise; All Souls’ Day; Rituals,Tessa de Loo,Tessa de,Loo
New Zealand,Zealand Charlotte Grimshaw Singularity / Maurice Shadbolt Season of the Jew / Keri Hulme The Bone People / Lloyd Jones Mr Pip / Alan Duff Once Were Warriors / Witi Ihimaera Tangi / Janet Frame / Patricia Grace Potiki / Eleanor Catton The Luminaries,Zealand Charlotte Grimshaw Singularity,Zealand Charlotte,Grimshaw Singularity,Maurice Shadbolt Season of the Jew,Maurice Shadbolt,Season of the Jew,Keri Hulme The Bone People,Keri Hulme,The Bone People
Nicaragua,Gioconda Belli Infinity in the Palm of her Hand,Gioconda Belli Infinity in the Palm of her Han,Gioconda Belli,Infinity in the Palm of her Han,Stephen Kinzer Blood of Brothers,Stephen Kinzer,Blood of Brothers,None,None,None
Niger,recounted by Nouhou Malio The Epic of Askia Mohammed,Nouhou Malio The Epic of Askia Mohamme,Nouhou Malio,The Epic of Askia Mohamme,Cheryl Olkes In Sorcery's Shadow,Cheryl Olkes,In Sorcery's Shadow,None,None,None
Nigeria,Wole Soyinka The Interpreters; Season of Anomy / Toyin Falola A Mouth Sweeter than Salt / Lola Shoneyin The Secret Lives of Baba Segi’s Wives / Chimamanda Ngozi Adichie Americanah; Half of a Yellow Sun / Chinua Achebe Things Fall Apart,Wole Soyinka The Interpreters; Season of Anomy,Wole Soyinka,The Interpreters; Season of Anomy,Toyin Falola A Mouth Sweeter than Salt,Toyin Falola,A Mouth Sweeter than Salt,Lola Shoneyin The Secret Lives of Baba Segi’s Wives,Lola Shoneyin,The Secret Lives of Baba Segi’s Wives
"Korea, Democratic People's Republic of",Korea Ri In Mo My Life and Faith / Kye Wol Hyang,Kim Yong Long Road Home,Kim Yong,Long Road Home,Barbara Demick Nothing to Envy,Barbara Demick,Nothing to Envy,None,None,None
Norway,Karl Ove Knausgaard My Struggle / Per Petterson To Siberia; Out Stealing Horses (trans. Ann Born) / Knut Hamsun Hunger / Lars Saabye Christensen The Half Brother / Jan Wiese The Naked Madonna / Linn Ullmann Before You Sleep / Agnar Mykle Lasso Round the Moon / Gerd Brantenberg Egalia’s Daughters / Sigrid Undset Kristin Lavransdatter (trans. Tiina Nunnally) / Carl Frode Tiller Encircling / Tarjei Vesaas The Ice Palace / Helga Flatland A Modern Family,Karl Ove Knausgaard My Struggle,Karl Ove,Knausgaard My Struggle,Per Petterson To Siberia; Out Stealing Horses (trans. Ann Born),Per Petterson,To Siberia; Out Stealing Horses (trans. Ann Born),Knut Hamsun Hunger,Knut Hamsun,Hunger
Oman,"Ibrahim Farghali Smiles of Saints / Khadija bint Alawi Al-Dhahab My Grandmother’s Stories / Unni Wikan Behind the Veil in Arabia: Women in Oman / Abdulaziz Al Farsi Earth Weeps, Saturn Laughs",Ibrahim Farghali Smiles of Saints,Ibrahim Farghali,Smiles of Saints,Khadijabint Alawi Al-Dhahab My Grandmother’s Stories,Khadijabint Alawi,Al-Dhahab My Grandmother’s Stories,Unni Wikan Behind the Veil in Arabia: Women in Oman,Unni Wikan,Behind the Veil in Arabia: Women in Oman
